"Frequency (Hz)","|Z| (Ohm)","theta (deg)"
+5.00000000000e+004, +1.64312418656e+002, -8.66263720032e+001
+5.01100000000e+004, +1.61714344650e+002, -8.65675197887e+001
+5.02200000000e+004, +1.59067124117e+002, -8.65013630308e+001
+5.03300000000e+004, +1.56435766179e+002, -8.64400911062e+001
+5.04400000000e+004, +1.53761776933e+002, -8.63690476929e+001
+5.05500000000e+004, +1.51101559723e+002, -8.62990823296e+001
+5.06600000000e+004, +1.48390384170e+002, -8.62251205899e+001
+5.07700000000e+004, +1.45693267108e+002, -8.61478004068e+001
+5.08800000000e+004, +1.42951045559e+002, -8.60646763714e+001
+5.09900000000e+004, +1.40212269997e+002, -8.59815778222e+001
+5.11000000000e+004, +1.37439185617e+002, -8.58912079008e+001
+5.12100000000e+004, +1.34649934358e+002, -8.57970009368e+001
+5.13200000000e+004, +1.31841632332e+002, -8.56954170755e+001
+5.14300000000e+004, +1.29018291599e+002, -8.55890456101e+001
+5.15400000000e+004, +1.26170547207e+002, -8.54733575226e+001
+5.16500000000e+004, +1.23311248145e+002, -8.53536297438e+001
+5.17600000000e+004, +1.20429057984e+002, -8.52320984487e+001
+5.18700000000e+004, +1.17512716629e+002, -8.51014770266e+001
+5.19800000000e+004, +1.14576075262e+002, -8.49617588710e+001
+5.20900000000e+004, +1.11613784236e+002, -8.48084889034e+001
+5.22000000000e+004, +1.08629819992e+002, -8.46445408755e+001
+5.23100000000e+004, +1.05626574903e+002, -8.44703038269e+001
+5.24200000000e+004, +1.02591430334e+002, -8.42812530888e+001
+5.25300000000e+004, +9.95413688107e+001, -8.40738089035e+001
+5.26400000000e+004, +9.64666965320e+001, -8.38521781464e+001
+5.27500000000e+004, +9.33791007381e+001, -8.36159544981e+001
+5.28600000000e+004, +9.02353368553e+001, -8.33523424803e+001
+5.29700000000e+004, +8.71186613505e+001, -8.30695970542e+001
+5.30800000000e+004, +8.39488514609e+001, -8.27644496761e+001
+5.31900000000e+004, +8.07698445074e+001, -8.24478009829e+001
+5.33000000000e+004, +7.75372643711e+001, -8.20976313875e+001
+5.34100000000e+004, +7.42686490728e+001, -8.17067996851e+001
+5.35200000000e+004, +7.09958010312e+001, -8.12868281871e+001
+5.36300000000e+004, +6.76450442863e+001, -8.08050199474e+001
+5.37400000000e+004, +6.43031611072e+001, -8.02675393337e+001
+5.38500000000e+004, +6.09043465142e+001, -7.96467627748e+001
+5.39600000000e+004, +5.75098882346e+001, -7.89497452601e+001
+5.40700000000e+004, +5.40489852000e+001, -7.81387223758e+001
+5.41800000000e+004, +5.06058554766e+001, -7.72130370554e+001
+5.42900000000e+004, +4.71227719227e+001, -7.61138317133e+001
+5.44000000000e+004, +4.36274567407e+001, -7.48160166918e+001
+5.45100000000e+004, +4.01586324183e+001, -7.33159861661e+001
+5.46200000000e+004, +3.66262845133e+001, -7.14961821434e+001
+5.47300000000e+004, +3.31368381840e+001, -6.92748018224e+001
+5.48400000000e+004, +2.96233931819e+001, -6.64449745577e+001
+5.49500000000e+004, +2.62046366052e+001, -6.28475549375e+001
+5.50600000000e+004, +2.28582893850e+001, -5.80362587067e+001
+5.51700000000e+004, +1.97320700428e+001, -5.15969424058e+001
+5.52800000000e+004, +1.69283959250e+001, -4.28060117062e+001
+5.53900000000e+004, +1.46480698855e+001, -3.09021123068e+001
+5.55000000000e+004, +1.31838233134e+001, -1.54947907769e+001
+5.56100000000e+004, +1.28343900893e+001, +2.37060230107e+000
+5.57200000000e+004, +1.37102139796e+001, +1.94692927512e+001
+5.58300000000e+004, +1.56470144087e+001, +3.37582673283e+001
+5.59400000000e+004, +1.83046434871e+001, +4.44467498972e+001
+5.60500000000e+004, +2.15184405835e+001, +5.24399611269e+001
+5.61600000000e+004, +2.50528474893e+001, +5.82946917292e+001
+5.62700000000e+004, +2.88679141419e+001, +6.27478992396e+001
+5.63800000000e+004, +3.28510020829e+001, +6.61697241700e+001
+5.64900000000e+004, +3.70161662486e+001, +6.88969049439e+001
+5.66000000000e+004, +4.12699594794e+001, +7.10785635337e+001
+5.67100000000e+004, +4.57167823513e+001, +7.28907835283e+001
+5.68200000000e+004, +5.02018155486e+001, +7.43712718430e+001
+5.69300000000e+004, +5.48540436020e+001, +7.56245119714e+001
+5.70400000000e+004, +5.95738250886e+001, +7.66824959917e+001
+5.71500000000e+004, +6.44231832615e+001, +7.75965277798e+001
+5.72600000000e+004, +6.93165209329e+001, +7.83773092351e+001
+5.73700000000e+004, +7.43445381062e+001, +7.90575832896e+001
+5.74800000000e+004, +7.94270583675e+001, +7.96391099144e+001
+5.75900000000e+004, +8.45919068578e+001, +8.01508251514e+001
+5.77000000000e+004, +8.97905417301e+001, +8.06186040266e+001
+5.78100000000e+004, +9.50939651338e+001, +8.10691662287e+001
+5.79200000000e+004, +1.00533629659e+002, +8.15035642936e+001
+5.80300000000e+004, +1.06062986807e+002, +8.18929610302e+001
+5.81400000000e+004, +1.11771825502e+002, +8.22420627719e+001
+5.82500000000e+004, +1.17516701762e+002, +8.25560526505e+001
+5.83600000000e+004, +1.23454364441e+002, +8.28406486223e+001
+5.84700000000e+004, +1.29430430013e+002, +8.30994085718e+001
+5.85800000000e+004, +1.35570234213e+002, +8.33328123610e+001
+5.86900000000e+004, +1.41815860669e+002, +8.35445696682e+001
+5.88000000000e+004, +1.48183207616e+002, +8.37322924636e+001
+5.89100000000e+004, +1.54624504133e+002, +8.39067637927e+001
+5.90200000000e+004, +1.61259948409e+002, +8.40699931197e+001
+5.91300000000e+004, +1.67918115364e+002, +8.42210389159e+001
+5.92400000000e+004, +1.74868202864e+002, +8.43569393986e+001
+5.93500000000e+004, +1.81733481499e+002, +8.44871915477e+001
+5.94600000000e+004, +1.88946409985e+002, +8.46081495349e+001
+5.95700000000e+004, +1.96129914887e+002, +8.47291593102e+001
+5.96800000000e+004, +2.03611465278e+002, +8.48412135267e+001
+5.97900000000e+004, +2.11127145589e+002, +8.49485205482e+001
+5.99000000000e+004, +2.18963689127e+002, +8.50457392742e+001
+6.00100000000e+004, +2.26831598819e+002, +8.51397739843e+001
+6.01200000000e+004, +2.35007654492e+002, +8.52264853025e+001
+6.02300000000e+004, +2.43266617033e+002, +8.53113253492e+001
+6.03400000000e+004, +2.51771665737e+002, +8.53855603518e+001
+6.04500000000e+004, +2.60496284779e+002, +8.54592059793e+001
+6.05600000000e+004, +2.69393535839e+002, +8.55268568141e+001
+6.06700000000e+004, +2.78497375345e+002, +8.55914574650e+001
+6.07800000000e+004, +2.87902247730e+002, +8.56480418464e+001
+6.08900000000e+004, +2.97409835761e+002, +8.57078564464e+001
+6.10000000000e+004, +3.07367708082e+002, +8.57524747358e+001
+6.11100000000e+004, +3.17324873624e+002, +8.58075538209e+001
+6.12200000000e+004, +3.27784907743e+002, +8.58439530038e+001
+6.13300000000e+004, +3.38393115395e+002, +8.58856566543e+001
+6.14400000000e+004, +3.49282782983e+002, +8.59262253899e+001
+6.15500000000e+004, +3.60589572487e+002, +8.59591980617e+001
+6.16600000000e+004, +3.72083793699e+002, +8.59938965695e+001
+6.17700000000e+004, +3.84021845687e+002, +8.60120651340e+001
+6.18800000000e+004, +3.96267470186e+002, +8.60432682791e+001
+6.19900000000e+004, +4.08838984149e+002, +8.60611039599e+001
+6.21000000000e+004, +4.21850469680e+002, +8.60798048216e+001
+6.22100000000e+004, +4.35217659787e+002, +8.60903642100e+001
+6.23200000000e+004, +4.49052403549e+002, +8.60988326878e+001
+6.24300000000e+004, +4.63306997859e+002, +8.61054345651e+001
+6.25400000000e+004, +4.78049110104e+002, +8.61091009278e+001
+6.26500000000e+004, +4.93315774716e+002, +8.61014251323e+001
+6.27600000000e+004, +5.08913902382e+002, +8.60942799770e+001
+6.28700000000e+004, +5.25306054854e+002, +8.60821069436e+001
+6.29800000000e+004, +5.42051613723e+002, +8.60683840240e+001
+6.30900000000e+004, +5.59489601153e+002, +8.60439191536e+001
+6.32000000000e+004, +5.77532478136e+002, +8.60223474009e+001
+6.33100000000e+004, +5.96154934023e+002, +8.59915087329e+001
+6.34200000000e+004, +6.15591541061e+002, +8.59554688311e+001
+6.35300000000e+004, +6.35628260736e+002, +8.59184204697e+001
+6.36400000000e+004, +6.56541224399e+002, +8.58730299242e+001
+6.37500000000e+004, +6.78106251975e+002, +8.58280817544e+001
+6.38600000000e+004, +7.00685875948e+002, +8.57760328109e+001
+6.39700000000e+004, +7.23905620202e+002, +8.57296490154e+001
+6.40800000000e+004, +7.48348263950e+002, +8.56740028255e+001
+6.41900000000e+004, +7.73540350952e+002, +8.56310678083e+001
+6.43000000000e+004, +8.00079013843e+002, +8.55861970913e+001
+6.44100000000e+004, +8.27724891867e+002, +8.55534886773e+001
+6.45200000000e+004, +8.57095360152e+002, +8.55147657444e+001
+6.46300000000e+004, +8.87834130648e+002, +8.54575575053e+001
+6.47400000000e+004, +9.20069227881e+002, +8.53797406779e+001
+6.48500000000e+004, +9.53479052390e+002, +8.53139921483e+001
+6.49600000000e+004, +9.88867867395e+002, +8.52524568176e+001
+6.50700000000e+004, +1.02619238948e+003, +8.51929274197e+001
+6.51800000000e+004, +1.06571855321e+003, +8.51325385243e+001
+6.52900000000e+004, +1.10765660752e+003, +8.50659273662e+001
+6.54000000000e+004, +1.15222185975e+003, +8.49921361152e+001
+6.55100000000e+004, +1.19951260009e+003, +8.49114612944e+001
+6.56200000000e+004, +1.24998126354e+003, +8.48198895115e+001
+6.57300000000e+004, +1.30378528252e+003, +8.47162939727e+001
+6.58400000000e+004, +1.36126338718e+003, +8.46036982849e+001
+6.59500000000e+004, +1.42294120505e+003, +8.44747353203e+001
+6.60600000000e+004, +1.48908977510e+003, +8.43335022095e+001
+6.61700000000e+004, +1.56032565072e+003, +8.41727905037e+001
+6.62800000000e+004, +1.63710299903e+003, +8.39949587506e+001
+6.63900000000e+004, +1.72010305246e+003, +8.38000459600e+001
+6.65000000000e+004, +1.81021481464e+003, +8.35914073262e+001
+6.66100000000e+004, +1.90839479947e+003, +8.33630633736e+001
+6.67200000000e+004, +2.01592152343e+003, +8.31077127562e+001
+6.68300000000e+004, +2.13425542788e+003, +8.28285710448e+001
+6.69400000000e+004, +2.26497955935e+003, +8.25163674482e+001
+6.70500000000e+004, +2.41009358157e+003, +8.21624048622e+001
+6.71600000000e+004, +2.57207057532e+003, +8.17597375935e+001
+6.72700000000e+004, +2.75380667479e+003, +8.13081664591e+001
+6.73800000000e+004, +2.95940864077e+003, +8.07889881460e+001
+6.74900000000e+004, +3.19415684734e+003, +8.01937501535e+001
+6.76000000000e+004, +3.46352463698e+003, +7.95066352294e+001
+6.77100000000e+004, +3.77689632375e+003, +7.86939980083e+001
+6.78200000000e+004, +4.14527608492e+003, +7.77368414337e+001
+6.79300000000e+004, +4.58368948111e+003, +7.65820647708e+001
+6.80400000000e+004, +5.11347357907e+003, +7.51575095652e+001
+6.81500000000e+004, +5.76381299612e+003, +7.33808021508e+001
+6.82600000000e+004, +6.57805176382e+003, +7.11482153401e+001
+6.83700000000e+004, +7.62110936476e+003, +6.82728295967e+001
+6.84800000000e+004, +9.00478539201e+003, +6.43765979599e+001
+6.85900000000e+004, +1.08778756665e+004, +5.89571575411e+001
+6.87000000000e+004, +1.34791115804e+004, +5.08884656960e+001
+6.88100000000e+004, +1.69573188475e+004, +3.84527766693e+001
+6.89200000000e+004, +2.06839923452e+004, +1.93110866690e+001
+6.90300000000e+004, +2.20631378723e+004, -5.59159707518e+000
+6.91400000000e+004, +1.96478220978e+004, -2.87924991133e+001
+6.92500000000e+004, +1.59763531138e+004, -4.51763500826e+001
+6.93600000000e+004, +1.29084853209e+004, -5.57053149414e+001
+6.94700000000e+004, +1.06506716661e+004, -6.26080421484e+001
+6.95800000000e+004, +9.00432413751e+003, -6.73569378102e+001
+6.96900000000e+004, +7.77821349018e+003, -7.07733245609e+001
+6.98000000000e+004, +6.84087701110e+003, -7.33352344616e+001
+6.99100000000e+004, +6.10378592853e+003, -7.53160288848e+001
+7.00200000000e+004, +5.51258581200e+003, -7.68902136194e+001
+7.01300000000e+004, +5.02732967079e+003, -7.81712919802e+001
+7.02400000000e+004, +4.62372198869e+003, -7.92302302954e+001
+7.03500000000e+004, +4.28231738048e+003, -8.01144851094e+001
+7.04600000000e+004, +3.99024872655e+003, -8.08757106286e+001
+7.05700000000e+004, +3.73775466165e+003, -8.15330253785e+001
+7.06800000000e+004, +3.51683950476e+003, -8.20936297452e+001
+7.07900000000e+004, +3.32294736839e+003, -8.25950573466e+001
+7.09000000000e+004, +3.15058218193e+003, -8.30352277473e+001
+7.10100000000e+004, +2.99687325977e+003, -8.34276221957e+001
+7.11200000000e+004, +2.85851143668e+003, -8.37785287104e+001
+7.12300000000e+004, +2.73364473711e+003, -8.40926008958e+001
+7.13400000000e+004, +2.62030410193e+003, -8.43777620846e+001
+7.14500000000e+004, +2.51688339139e+003, -8.46368952462e+001
+7.15600000000e+004, +2.42226777425e+003, -8.48751812012e+001
+7.16700000000e+004, +2.33517374325e+003, -8.50865610594e+001
+7.17800000000e+004, +2.25506831382e+003, -8.52821519703e+001
+7.18900000000e+004, +2.18087419831e+003, -8.54635235603e+001
+7.20000000000e+004, +2.11214393074e+003, -8.56300529192e+001
